Character,Simulation,Avg_Steps,Total_Dead,Total_Cured,Total_Infected,Dead_1,Cured_1,Infected_1,Dead_2,Cured_2,Infected_2,Dead_3,Cured_3,Infected_3,Dead_4,Cured_4,Infected_4,Dead_5,Cured_5,Infected_5,Dead_6,Cured_6,Infected_6,Dead_7,Cured_7,Infected_7,Dead_8,Cured_8,Infected_8,Dead_9,Cured_9,Infected_9,Dead_10,Cured_10,Infected_10,Dead_11,Cured_11,Infected_11,Dead_12,Cured_12,Infected_12,Dead_13,Cured_13,Infected_13,Dead_14,Cured_14,Infected_14,Dead_15,Cured_15,Infected_15,Dead_16,Cured_16,Infected_16,Dead_17,Cured_17,Infected_17,Dead_18,Cured_18,Infected_18,Dead_19,Cured_19,Infected_19,Dead_20,Cured_20,Infected_20,Dead_21,Cured_21,Infected_21,Dead_22,Cured_22,Infected_22,Dead_23,Cured_23,Infected_23,Dead_24,Cured_24,Infected_24,Dead_25,Cured_25,Infected_25,Dead_26,Cured_26,Infected_26,Dead_27,Cured_27,Infected_27,Dead_28,Cured_28,Infected_28,Dead_29,Cured_29,Infected_29,Dead_30,Cured_30,Infected_30,Dead_31,Cured_31,Infected_31,Dead_32,Cured_32,Infected_32,Dead_33,Cured_33,Infected_33,Dead_34,Cured_34,Infected_34,Dead_35,Cured_35,Infected_35,Dead_36,Cured_36,Infected_36,Dead_37,Cured_37,Infected_37,Dead_38,Cured_38,Infected_38,Dead_39,Cured_39,Infected_39,Dead_40,Cured_40,Infected_40,Dead_41,Cured_41,Infected_41,Dead_42,Cured_42,Infected_42,Dead_43,Cured_43,Infected_43,Dead_44,Cured_44,Infected_44,Dead_45,Cured_45,Infected_45,Dead_46,Cured_46,Infected_46,Dead_47,Cured_47,Infected_47,Dead_48,Cured_48,Infected_48,Dead_49,Cured_49,Infected_49,Dead_50,Cured_50,Infected_50,Dead_51,Cured_51,Infected_51,Etichetta,Dead_52,Cured_52,Infected_52,Dead_53,Cured_53,Infected_53,Dead_54,Cured_54,Infected_54,Dead_55,Cured_55,Infected_55,Dead_56,Cured_56,Infected_56,Dead_57,Cured_57,Infected_57
Jalabhar-Xho,1,21,52,653,881,0,0,1,0,0,2,0,0,26,0,0,138,0.0,1.0,339.0,2.0,10.0,485.0,2.0,53.0,521.0,10.0,127.0,499.0,22.0,217.0,433.0,28.0,311.0,344.0,35.0,396.0,258.0,39.0,473.0,185.0,44.0,533.0,123.0,45.0,568.0,89.0,48.0,585.0,71.0,49.0,599.0,56.0,50.0,618.0,37.0,51.0,628.0,26.0,51.0,636.0,18.0,52.0,644.0,9.0,52.0,646.0,7.0,52.0,653.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Jalabhar-Xho,2,34,48,657,892,0,0,1,0,0,1,0,0,2,0,1,2,0.0,1.0,4.0,0.0,1.0,10.0,0.0,2.0,49.0,0.0,3.0,180.0,2.0,6.0,337.0,3.0,20.0,473.0,8.0,76.0,507.0,14.0,145.0,477.0,19.0,256.0,383.0,25.0,355.0,295.0,27.0,440.0,216.0,34.0,497.0,166.0,38.0,537.0,124.0,41.0,564.0,94.0,43.0,583.0,77.0,43.0,605.0,56.0,44.0,622.0,38.0,45.0,638.0,21.0,45.0,646.0,13.0,45.0,650.0,9.0,46.0,652.0,7.0,46.0,653.0,6.0,46.0,654.0,5.0,47.0,655.0,3.0,47.0,655.0,3.0,48.0,655.0,2.0,48.0,655.0,2.0,48.0,656.0,1.0,48.0,656.0,1.0,48.0,656.0,1.0,48.0,657.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Joffrey-Baratheon,1,28,48,658,907,0,0,1,0,0,17,0,0,96,0,0,270,0.0,6.0,427.0,0.0,34.0,516.0,4.0,103.0,518.0,11.0,188.0,454.0,19.0,284.0,373.0,24.0,383.0,284.0,34.0,456.0,208.0,41.0,512.0,148.0,46.0,556.0,102.0,47.0,586.0,71.0,47.0,606.0,52.0,47.0,622.0,36.0,48.0,633.0,24.0,48.0,643.0,14.0,48.0,647.0,10.0,48.0,649.0,9.0,48.0,651.0,7.0,48.0,654.0,4.0,48.0,656.0,2.0,48.0,656.0,2.0,48.0,657.0,1.0,48.0,657.0,1.0,48.0,657.0,1.0,48.0,657.0,1.0,48.0,658.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Joffrey-Baratheon,2,26,37,650,866,0,0,1,0,0,15,0,0,100,0,0,278,1.0,4.0,422.0,2.0,41.0,490.0,5.0,118.0,469.0,11.0,212.0,400.0,17.0,313.0,320.0,21.0,395.0,253.0,26.0,455.0,194.0,30.0,500.0,146.0,33.0,547.0,100.0,34.0,568.0,81.0,35.0,589.0,59.0,36.0,608.0,40.0,36.0,618.0,31.0,36.0,631.0,20.0,37.0,633.0,17.0,37.0,637.0,13.0,37.0,643.0,7.0,37.0,647.0,3.0,37.0,648.0,2.0,37.0,649.0,1.0,37.0,649.0,1.0,37.0,649.0,1.0,37.0,650.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Kevan-Lannister,1,32,47,645,863,0,0,1,0,0,6,0,0,44,0,1,187,0.0,2.0,381.0,0.0,15.0,492.0,9.0,69.0,507.0,14.0,179.0,442.0,21.0,276.0,367.0,23.0,355.0,297.0,27.0,428.0,227.0,29.0,483.0,172.0,31.0,528.0,127.0,36.0,566.0,86.0,40.0,592.0,59.0,43.0,607.0,41.0,45.0,618.0,28.0,46.0,623.0,22.0,46.0,629.0,16.0,46.0,636.0,9.0,46.0,637.0,9.0,46.0,639.0,7.0,46.0,640.0,6.0,46.0,640.0,6.0,46.0,641.0,5.0,47.0,641.0,4.0,47.0,642.0,3.0,47.0,642.0,3.0,47.0,644.0,1.0,47.0,644.0,1.0,47.0,644.0,1.0,47.0,644.0,1.0,47.0,645.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Kevan-Lannister,2,35,47,650,897,0,0,1,0,0,5,0,0,38,0,0,132,0.0,1.0,295.0,2.0,9.0,445.0,6.0,46.0,506.0,11.0,127.0,485.0,15.0,229.0,411.0,21.0,324.0,333.0,27.0,408.0,253.0,30.0,477.0,185.0,34.0,533.0,127.0,36.0,569.0,91.0,39.0,594.0,63.0,41.0,614.0,41.0,43.0,624.0,29.0,43.0,636.0,17.0,45.0,642.0,9.0,45.0,645.0,7.0,46.0,646.0,5.0,46.0,648.0,3.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,648.0,2.0,47.0,649.0,1.0,47.0,649.0,1.0,47.0,649.0,1.0,47.0,649.0,1.0,47.0,649.0,1.0,47.0,650.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Lyle-Crakehall,1,34,56,632,873,0,0,1,0,0,1,0,0,1,0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,21.0,0.0,1.0,88.0,0.0,2.0,260.0,0.0,14.0,418.0,1.0,41.0,493.0,6.0,100.0,491.0,14.0,191.0,430.0,23.0,285.0,349.0,31.0,376.0,258.0,35.0,435.0,204.0,43.0,482.0,156.0,47.0,524.0,114.0,48.0,544.0,95.0,49.0,566.0,72.0,51.0,589.0,48.0,53.0,601.0,34.0,55.0,610.0,23.0,55.0,615.0,18.0,55.0,623.0,10.0,56.0,626.0,6.0,56.0,629.0,3.0,56.0,630.0,2.0,56.0,630.0,2.0,56.0,630.0,2.0,56.0,631.0,1.0,56.0,631.0,1.0,56.0,632.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Lyle-Crakehall,2,36,38,662,884,0,0,1,0,0,1,0,0,2,0,0,23,0.0,1.0,86.0,0.0,2.0,264.0,0.0,6.0,425.0,4.0,30.0,526.0,8.0,101.0,511.0,14.0,176.0,458.0,19.0,292.0,356.0,23.0,380.0,278.0,28.0,464.0,197.0,32.0,512.0,150.0,35.0,545.0,116.0,35.0,578.0,84.0,35.0,604.0,58.0,36.0,626.0,36.0,37.0,633.0,28.0,37.0,640.0,21.0,37.0,647.0,14.0,37.0,650.0,12.0,37.0,652.0,10.0,38.0,657.0,5.0,38.0,658.0,4.0,38.0,658.0,4.0,38.0,659.0,3.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,661.0,1.0,38.0,662.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Oberyn-Martell,1,26,33,677,887,0,0,1,0,0,3,0,0,26,0,0,139,0.0,0.0,324.0,1.0,6.0,464.0,4.0,44.0,535.0,6.0,141.0,503.0,11.0,243.0,421.0,19.0,347.0,323.0,21.0,436.0,242.0,25.0,492.0,185.0,28.0,546.0,131.0,30.0,577.0,100.0,30.0,608.0,70.0,31.0,624.0,54.0,31.0,636.0,43.0,32.0,648.0,30.0,32.0,658.0,20.0,32.0,663.0,15.0,32.0,668.0,10.0,32.0,671.0,7.0,32.0,673.0,5.0,32.0,676.0,2.0,32.0,676.0,2.0,32.0,676.0,2.0,33.0,677.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Oberyn-Martell,2,24,49,646,886,0,0,1,0,0,5,0,0,40,0,0,160,0.0,2.0,337.0,0.0,17.0,465.0,2.0,63.0,508.0,5.0,140.0,492.0,13.0,250.0,397.0,20.0,349.0,300.0,27.0,411.0,239.0,32.0,482.0,171.0,35.0,517.0,138.0,37.0,556.0,99.0,40.0,582.0,72.0,42.0,600.0,52.0,44.0,619.0,32.0,46.0,626.0,23.0,46.0,632.0,17.0,47.0,639.0,9.0,47.0,642.0,6.0,48.0,643.0,4.0,49.0,645.0,1.0,49.0,645.0,1.0,49.0,646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Tyrion-Lannister,1,25,48,665,904,0,0,1,0,0,24,0,0,109,0,0,298,0.0,9.0,464.0,3.0,35.0,522.0,7.0,117.0,499.0,14.0,213.0,433.0,22.0,312.0,346.0,28.0,383.0,285.0,36.0,442.0,223.0,38.0,500.0,169.0,41.0,543.0,125.0,44.0,577.0,89.0,46.0,603.0,63.0,46.0,621.0,45.0,48.0,632.0,33.0,48.0,643.0,22.0,48.0,649.0,16.0,48.0,654.0,11.0,48.0,658.0,7.0,48.0,661.0,4.0,48.0,662.0,3.0,48.0,664.0,1.0,48.0,664.0,1.0,48.0,665.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Tyrion-Lannister,2,25,43,638,868,0,0,1,0,0,30,0,0,179,0,0,376,2.0,8.0,490.0,3.0,57.0,521.0,12.0,142.0,474.0,18.0,250.0,381.0,25.0,350.0,282.0,31.0,435.0,203.0,36.0,482.0,157.0,40.0,533.0,105.0,41.0,562.0,76.0,41.0,589.0,51.0,41.0,602.0,38.0,42.0,613.0,26.0,43.0,619.0,19.0,43.0,628.0,10.0,43.0,634.0,4.0,43.0,635.0,3.0,43.0,636.0,2.0,43.0,637.0,1.0,43.0,637.0,1.0,43.0,637.0,1.0,43.0,637.0,1.0,43.0,638.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Tywin-Lannister,1,33,41,644,887,0,0,1,0,0,12,0,0,66,0,0,236,0.0,1.0,406.0,2.0,22.0,500.0,5.0,91.0,482.0,7.0,179.0,443.0,15.0,266.0,367.0,23.0,361.0,281.0,31.0,436.0,208.0,33.0,496.0,149.0,34.0,531.0,116.0,36.0,565.0,82.0,37.0,589.0,59.0,37.0,609.0,39.0,38.0,617.0,30.0,40.0,626.0,19.0,40.0,634.0,11.0,40.0,635.0,10.0,40.0,637.0,8.0,40.0,638.0,7.0,40.0,641.0,4.0,40.0,641.0,4.0,40.0,642.0,3.0,40.0,642.0,3.0,41.0,642.0,2.0,41.0,643.0,1.0,41.0,643.0,1.0,41.0,643.0,1.0,41.0,643.0,1.0,41.0,643.0,1.0,41.0,643.0,1.0,41.0,644.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Tywin-Lannister,2,28,41,670,914,0,0,1,0,0,7,0,0,55,0,1,193,0.0,2.0,369.0,0.0,16.0,500.0,1.0,69.0,529.0,5.0,172.0,460.0,9.0,270.0,395.0,15.0,359.0,315.0,21.0,453.0,224.0,23.0,505.0,175.0,31.0,559.0,117.0,37.0,590.0,80.0,38.0,609.0,62.0,39.0,622.0,48.0,41.0,639.0,30.0,41.0,648.0,22.0,41.0,653.0,17.0,41.0,659.0,11.0,41.0,664.0,6.0,41.0,666.0,4.0,41.0,666.0,4.0,41.0,667.0,3.0,41.0,667.0,3.0,41.0,668.0,2.0,41.0,668.0,2.0,41.0,669.0,1.0,41.0,670.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Varys,1,25,45,658,921,0,0,1,0,0,8,0,0,71,0,0,223,0.0,3.0,393.0,2.0,24.0,487.0,7.0,79.0,521.0,12.0,170.0,463.0,20.0,272.0,380.0,23.0,373.0,291.0,29.0,447.0,217.0,31.0,511.0,155.0,36.0,554.0,110.0,38.0,582.0,80.0,40.0,606.0,55.0,43.0,620.0,38.0,44.0,631.0,28.0,44.0,640.0,19.0,45.0,641.0,17.0,45.0,647.0,11.0,45.0,652.0,6.0,45.0,655.0,3.0,45.0,656.0,2.0,45.0,656.0,2.0,45.0,656.0,2.0,45.0,658.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Varys,2,28,50,641,892,0,0,1,0,0,5,0,0,47,0,0,183,0.0,0.0,364.0,0.0,13.0,486.0,5.0,69.0,506.0,17.0,141.0,464.0,27.0,239.0,386.0,33.0,321.0,318.0,36.0,401.0,240.0,40.0,461.0,179.0,40.0,508.0,136.0,44.0,542.0,101.0,45.0,571.0,73.0,47.0,593.0,50.0,48.0,605.0,37.0,48.0,613.0,29.0,49.0,623.0,19.0,49.0,627.0,15.0,50.0,628.0,13.0,50.0,634.0,7.0,50.0,635.0,6.0,50.0,637.0,4.0,50.0,639.0,2.0,50.0,640.0,1.0,50.0,640.0,1.0,50.0,640.0,1.0,50.0,641.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
